date;0-9 ans;10-19 ans;20-29 ans;30-39 ans;40-49 ans;50-59 ans;60-69 ans;70-79 ans;80-89 ans;>=90 ans;
22-03-202037;19;104;289;521;1004;1417;1703;1469;553;
29-03-202067;44;260;727;1451;2916;4057;4517;3684;1318;
05-04-202084;75;353;901;1958;4190;6040;6613;5904;2281;
12-04-202082;87;351;896;1833;3945;6100;7075;7540;3457;
19-04-202095;85;302;737;1476;3314;5403;6818;7862;4214;
26-04-202087;76;267;613;1223;2735;4676;6316;7660;4276;
03-05-202076;79;240;530;1009;2403;4160;5713;7243;4124;
10-05-202064;68;202;440;852;2052;3612;5003;6364;3686;
17-05-202052;55;174;365;720;1759;3125;4337;5465;3123;
24-05-202045;46;159;312;621;1539;2780;3840;4851;2820;
31-05-202038;39;137;263;535;1304;2322;3269;3972;2287;
07-06-202036;43;123;250;493;1183;2050;2823;3403;1914;
14-06-202031;34;114;228;429;1015;1799;2504;2975;1623;
21-06-202027;32;113;231;394;917;1660;2259;2651;1412;
28-06-202026;30;104;207;363;835;1486;2013;2361;1226;
05-07-202018;26;103;191;324;746;1350;1811;2124;1101;
12-07-202027;21;96;163;293;657;1174;1633;1890;975;
19-07-202024;23;92;166;274;626;1099;1546;1765;908;
26-07-202028;26;84;146;256;540;967;1325;1474;742;
02-08-202026;27;86;130;235;492;889;1208;1361;683;
09-08-202027;27;86;133;235;490;883;1165;1266;629;
16-08-202023;23;88;130;234;472;862;1127;1234;576;
